year,name,model,transmission,km,ownership,fuel,registeration,price
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,10953,1st,Petrol,WB,356599
2019,Hyundai,Hyundai Elite i20 ERA 1.2,Manual,21415,1st,Petrol,WB,532899
2018,Maruti,Maruti Swift VXI,Manual,16301,1st,Petrol,WB,559099
2015,Volkswagen,Volkswagen Polo HIGHLINE1.5L DIESEL,Manual,77595,1st,Diesel,WB,359499
2014,Hyundai,Hyundai Eon MAGNA PLUS,Manual,23786,1st,Petrol,WB,227499
2019,Maruti,Maruti Swift VXI,Manual,17035,1st,Petrol,WB,560399
2017,Mahindra,Mahindra Bolero POWER+ SLE,Manual,45095,1st,Diesel,WB,570699
2022,Tata,Tata Tiago 1.2 XT (O),Manual,10687,1st,Petrol,WB,577899
2012,Hyundai,Hyundai i20 SPORTZ 1.2 O,Manual,82883,2nd,Petrol,WB,289199
2013,Hyundai,Hyundai i10 SPORTZ 1.2 KAPPA2,Manual,72059,2nd,Petrol,WB,252799
2019,Mahindra,Mahindra XUV500 W9,Manual,7562,1st,Diesel,WB,1405599
2012,Hyundai,Hyundai Eon MAGNA,Manual,48802,1st,Petrol,WB,200099
2010,Maruti,Maruti Alto LXI,Manual,22973,1st,Petrol,WB,152999
2019,Maruti,Maruti Swift VXI,Manual,21388,1st,Petrol,WB,564499
2015,Maruti,Maruti Alto 800 LXI,Manual,35391,2nd,Petrol,WB,248099
2018,Hyundai,Hyundai Creta 1.6 E + VTVT,Manual,39812,1st,Petrol,WB,840199
2019,Mahindra,Mahindra Thar CRDI 4x4 6str AC,Manual,12969,2nd,Diesel,WB,882999
2018,Maruti,Maruti Alto 800 LXI,Manual,3519,1st,Petrol,WB,336699
2015,Maruti,Maruti Celerio VXI,Manual,11362,1st,Petrol,WB,380499
2014,Maruti,Maruti Alto 800 VXI,Manual,93106,1st,Petrol,WB,239099
2021,Maruti,Maruti Celerio VXI,Manual,7726,1st,Petrol,WB,535699
2020,Volkswagen,Volkswagen Polo Trendline 1.0 L Petrol,Manual,24344,1st,Petrol,WB,526299
2022,Maruti,Maruti Eeco 7 STR STD(O),Manual,870,1st,Petrol,WB,527099
2016,Maruti,Maruti Swift Dzire LXI OPT,Manual,28164,2nd,Petrol,WB,401299
2018,Hyundai,Hyundai Verna 1.4 VTVT E,Manual,31681,1st,Petrol,WB,677249
2012,Maruti,Maruti Swift VXI,Manual,19042,1st,Petrol,WB,346999
2013,Toyota,Toyota Corolla Altis G,Manual,60387,1st,Petrol,WB,389699
2019,Volkswagen,Volkswagen Vento COMFORTLINE MT PETROL,Manual,10624,1st,Petrol,WB,663999
2022,Renault,Renault Kwid 1.0 CLIMBER OPT,Manual,1087,1st,Petrol,WB,519099
2013,Maruti,Maruti Wagon R 1.0 VXI,Manual,76617,1st,Petrol,WB,290599
2017,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Manual,19857,1st,Petrol,WB,516199
2019,Renault,Renault TRIBER 1.0 RXL PETROL,Manual,3897,1st,Petrol,WB,569499
2017,Tata,Tata Tiago XT 1.2 REVOTRON,Manual,65546,1st,Petrol,WB,354799
2011,Maruti,Maruti Wagon R 1.0 VXI,Manual,43844,2nd,Petrol,WB,240399
2013,Maruti,Maruti Alto K10 LXI,Manual,38627,1st,Petrol,WB,219199
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,23019,1st,Petrol,WB,395199
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,19123,1st,Petrol,WB,526099
2014,Maruti,Maruti Alto 800 LXI,Manual,34031,1st,Petrol,WB,242799
2018,Maruti,Maruti Wagon R 1.0 VXI AMT,Automatic,16204,3rd,Petrol,WB,385499
2016,Honda,Honda Jazz 1.5 VX I DTEC,Manual,78751,2nd,Diesel,WB,431699
2015,Maruti,Maruti Celerio VXI,Manual,24063,1st,Petrol,WB,370699
2020,Renault,Renault Kwid 1.0 RXT Opt,Manual,11999,1st,Petrol,WB,412999
2018,Hyundai,Hyundai Xcent E PLUS,Manual,36913,2nd,Petrol,WB,435599
2021,Maruti,Maruti Swift ZXI+,Manual,24637,1st,Petrol,WB,811799
2016,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,33053,1st,Petrol,WB,385599
2017,Maruti,Maruti Ertiga VXI ABS,Manual,52930,1st,Petrol,WB,673899
2020,Hyundai,Hyundai NEW SANTRO 1.1 MAGNA MT,Manual,4270,1st,Petrol,WB,458499
2012,Maruti,Maruti Alto K10 VXI,Manual,9721,1st,Petrol,WB,217399
2020,Mahindra,Mahindra Scorpio S11,Manual,32247,1st,Diesel,WB,1656099
2021,Maruti,Maruti Alto VXI,Manual,2275,1st,Petrol,WB,396099
2021,Maruti,Maruti S PRESSO VXI,Manual,7082,1st,Petrol,WB,455099
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,17836,1st,Petrol,WB,532299
2015,Honda,Honda City SV CVT PETROL,Automatic,51900,2nd,Petrol,WB,510799
2015,Maruti,Maruti Swift ZXI,Manual,24245,1st,Petrol,WB,485099
2013,Skoda,Skoda Rapid AMBITION 1.6 MPFI MT,Manual,91539,2nd,Petrol,WB,470199
2021,Mahindra,Mahindra Scorpio S11,Manual,26772,2nd,Diesel,WB,1643299
2019,Hyundai,Hyundai NEW SANTRO ERA 1.1,Manual,45693,1st,Petrol,WB,366799
2016,Hyundai,Hyundai Xcent S 1.2,Manual,84512,2nd,Petrol,WB,351399
2014,Hyundai,Hyundai Eon ERA PLUS,Manual,52959,1st,Petrol,WB,241599
2015,Maruti,Maruti Swift VXI,Manual,37307,1st,Petrol,WB,398299
2020,Datsun,Datsun Go Plus T (O) CVT,Automatic,15755,2nd,Petrol,WB,517899
2016,Maruti,Maruti Wagon R 1.0 LXI,Manual,33278,1st,Petrol,WB,331799
2018,Maruti,Maruti Celerio X ZXI OPT AMT,Automatic,28198,1st,Petrol,WB,420399
2020,Maruti,Maruti Dzire VXI,Manual,17572,1st,Petrol,WB,620099
2019,Maruti,Maruti Swift VXI,Manual,46282,2nd,Petrol,WB,560699
2016,Maruti,Maruti Vitara Brezza ZDI PLUS DUAL TONE,Manual,57569,2nd,Diesel,WB,631999
2013,Maruti,Maruti Wagon R 1.0 VXI,Manual,73462,1st,Petrol,WB,288499
2015,Maruti,Maruti Ciaz VXI PLUS,Manual,47403,2nd,Petrol,WB,446298
2012,Maruti,Maruti Swift VXI,Manual,40109,1st,Petrol,WB,329799
2011,Hyundai,Hyundai Eon MAGNA O,Manual,86805,1st,Petrol,WB,181699
2018,Maruti,Maruti Dzire ZXI Plus,Manual,55779,1st,Petrol,WB,561299
2016,Hyundai,Hyundai Verna FLUIDIC 1.6 SX VTVT,Manual,62031,1st,Petrol,WB,515399
2014,Hyundai,Hyundai i20 ASTA 1.4 CRDI,Manual,63497,2nd,Diesel,WB,349599
2014,Maruti,Maruti Alto 800 VXI,Manual,27046,1st,Petrol,MH,250799
2019,Honda,Honda City SV MT PETROL,Manual,13434,2nd,Petrol,WB,744199
2018,Hyundai,Hyundai Creta 1.6 SX AT CRDI,Automatic,37630,1st,Diesel,WB,1098199
2019,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,12935,1st,Petrol,WB,522099
2014,Maruti,Maruti Alto 800 LXI,Manual,35823,3rd,Petrol,WB,228099
2014,Maruti,Maruti Swift Dzire VXI,Manual,21391,2nd,Petrol,WB,429099
2019,Hyundai,Hyundai Xcent SX 1.2,Manual,11159,2nd,Petrol,WB,491799
2018,Maruti,Maruti Alto K10 VXI,Manual,30224,1st,Petrol,WB,328999
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,27407,1st,Petrol,WB,490399
2019,Hyundai,Hyundai Creta 1.6 SX (O) VTVT,Manual,48064,2nd,Petrol,WB,1108499
2018,Hyundai,Hyundai Grand i10 ASTA 1.2 VTVT,Manual,22492,1st,Petrol,WB,524099
2019,Hyundai,Hyundai NEW SANTRO ASTA 1.1 MT,Manual,42119,1st,Petrol,WB,438199
2021,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,4301,1st,Petrol,WB,889999
2014,Ford,Ford Ecosport 1.0 ECOBOOST TITANIUM,Manual,38203,1st,Petrol,WB,481799
2014,Datsun,Datsun Go T,Manual,28064,2nd,Petrol,WB,225399
2016,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT S,Manual,23847,1st,Petrol,WB,524499
2019,Maruti,Maruti Vitara Brezza ZDI+ DUAL TONE AMT,Automatic,37427,1st,Diesel,WB,927599
2020,Renault,Renault Kwid RXT,Manual,13648,1st,Petrol,WB,433199
2018,Maruti,Maruti Swift VXI AMT,Automatic,25410,1st,Petrol,WB,577199
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,28518,2nd,Petrol,WB,364899
2018,Toyota,Toyota Corolla Altis VL AT,Automatic,34316,2nd,Petrol,WB,1456199
2013,Maruti,Maruti Alto 800 LXI,Manual,45643,1st,Petrol,WB,224999
2021,Volkswagen,Volkswagen Polo GT TSI AT 1.0,Automatic,11068,3rd,Petrol,WB,915599
2015,Ford,Ford Ecosport 1.5 TITANIUMTDCI OPT,Manual,52613,2nd,Diesel,WB,529799
2013,Maruti,Maruti Swift VXI,Manual,70063,1st,Petrol,WB,348699
2014,Datsun,Datsun Go T,Manual,22412,1st,Petrol,WB,220599
2020,Hyundai,Hyundai NEW SANTRO MAGNA 1.1 CORPORATE EDITION,Manual,15383,1st,Petrol,WB,436399
2014,Honda,Honda Amaze 1.2 VXMT I VTEC,Manual,30992,2nd,Petrol,WB,386599
2014,Maruti,Maruti Swift Dzire VXI,Manual,47493,1st,Petrol,WB,399599
2018,Hyundai,Hyundai Eon MAGNA PLUS,Manual,33404,1st,Petrol,WB,304299
2019,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,67875,1st,Petrol,WB,573399
2014,Maruti,Maruti Swift Dzire VXI,Manual,76703,1st,Petrol,WB,419799
2018,Hyundai,Hyundai Creta 1.6 SX AT CRDI,Automatic,56907,1st,Diesel,WB,1115699
2015,Maruti,Maruti Alto 800 VXI,Manual,46994,2nd,Petrol,WB,254799
2015,Maruti,Maruti Swift VXI,Manual,57450,1st,Petrol,WB,397099
2020,Maruti,Maruti XL6 ALPHA SHVS  MT,Manual,9883,2nd,Petrol,WB,909299
2019,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,20629,2nd,Petrol,WB,443299
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,52987,1st,Petrol,WB,432699
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,15548,1st,Petrol,WB,418099
2020,KIA,KIA SELTOS 1.5 GTX+ AT,Automatic,67419,1st,Diesel,WB,1523799
2021,Ford,Ford Ecosport 1.5  TITANIUM SPORTS(SUNROOF),Manual,8143,1st,Diesel,WB,1074499
2019,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Manual,25600,1st,Petrol,WB,502999
2017,Maruti,Maruti Swift VDI,Manual,82858,1st,Diesel,WB,432199
2020,Ford,Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,Automatic,15344,1st,Petrol,WB,956849
2019,Maruti,Maruti Swift LXI,Manual,61909,1st,Petrol,WB,487999
2018,Honda,Honda Jazz 1.2 SV MT,Manual,34640,1st,Petrol,WB,570699
2014,Maruti,Maruti Swift VXI,Manual,29796,2nd,Petrol,WB,369299
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,27132,1st,Petrol,WB,589899
2017,Ford,Ford Ecosport 1.5 TDCI TITANIUM PLUS,Manual,69342,1st,Diesel,WB,650099
2014,Honda,Honda City SV CVT PETROL,Automatic,57030,1st,Petrol,WB,506799
2018,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Manual,24062,1st,Petrol,WB,553099
2019,Honda,Honda City V MT PETROL,Manual,20355,1st,Petrol,WB,876699
2013,Maruti,Maruti Swift VXI,Manual,65033,1st,Petrol,WB,347799
2014,Ford,Ford Ecosport 1.5 TREND TDCI,Manual,74464,1st,Diesel,WB,439499
2019,Ford,Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,Automatic,7277,1st,Petrol,WB,980999
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,2818,1st,Petrol,WB,650899
2019,Hyundai,Hyundai Verna 1.6 SX (O) CRDI MT,Manual,42775,1st,Diesel,WB,958999
2014,Hyundai,Hyundai i20 SPORTZ 1.2 VTVT,Manual,52015,1st,Petrol,WB,365199
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,2021,1st,Petrol,WB,650899
2019,Maruti,Maruti Dzire VXI,Manual,8099,1st,Petrol,WB,644199
2020,Maruti,Maruti Baleno ALPHA 1.2K12  AT,Automatic,6119,1st,Petrol,WB,827899
2013,Ford,Ford Ecosport 1.5TITANIUM TDCI,Manual,59685,2nd,Diesel,WB,450699
2018,Maruti,Maruti Alto 800 LXI,Manual,10579,1st,Petrol,WB,320699
2018,Hyundai,Hyundai Creta 1.6 SX VTVT,Manual,29130,1st,Petrol,WB,947599
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,40796,1st,Petrol,WB,485799
2016,Hyundai,Hyundai Creta 1.6 SX PLUS VTVT,Manual,27312,1st,Petrol,WB,820899
2019,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,27429,1st,Petrol,WB,774799
2019,Skoda,Skoda Rapid 1.6 MPI MT ACTIVE,Manual,41352,1st,Petrol,WB,746399
2018,Hyundai,Hyundai Xcent E PLUS,Manual,47053,1st,Petrol,WB,444499
2018,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Manual,26795,1st,Petrol,WB,553099
2019,Hyundai,Hyundai VENUE 1.0 TURBO GDI SX+ AT,Automatic,14381,1st,Petrol,WB,1041199
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,20642,1st,Petrol,WB,407499
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,33632,2nd,Petrol,WB,399299
2015,Maruti,Maruti Swift VXI,Manual,76175,1st,Petrol,WB,398299
2012,Maruti,Maruti Swift VXI,Manual,85873,1st,Petrol,WB,321499
2016,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,56814,1st,Petrol,WB,510099
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,14834,1st,Petrol,WB,627499
2019,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,21730,1st,Petrol,WB,756099
2016,Hyundai,Hyundai i20 Active 1.2 S,Manual,59356,2nd,Petrol,WB,484299
2018,Maruti,Maruti Alto 800 LXI,Manual,44592,1st,Petrol,WB,296199
2021,Honda,Honda Jazz 1.2 ZX MT,Manual,5745,1st,Petrol,WB,931399
2018,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,54544,1st,Petrol,WB,663699
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,53890,1st,Petrol,WB,487299
2018,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI,Manual,91106,1st,Diesel,WB,605199
2019,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,28228,1st,Petrol,WB,780099
2018,Honda,Honda City V MT PETROL,Manual,31801,1st,Petrol,WB,789099
2018,Hyundai,Hyundai Verna 1.6 SX VTVT,Manual,57604,1st,Petrol,WB,744999
2019,Honda,Honda City V MT PETROL,Manual,45064,1st,Petrol,WB,875599
2017,Maruti,Maruti Wagon R 1.0 VXI,Manual,13595,2nd,Petrol,WB,431899
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,33292,2nd,Petrol,WB,349499
2018,Maruti,Maruti Dzire VXI,Manual,27563,1st,Petrol,WB,605299
2014,Ford,Ford Ecosport 1.0 ECOBOOST TITANIUM,Manual,75658,1st,Petrol,WB,551099
2019,Tata,Tata Harrier XZ 2.0L Kryotec,Manual,57852,1st,Diesel,WB,1303999
2018,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,7659,1st,Petrol,WB,724899
2014,Hyundai,Hyundai i20 SPORTZ 1.2 VTVT,Manual,53121,2nd,Petrol,WB,374199
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,32694,2nd,Petrol,WB,382899
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,31315,2nd,Petrol,WB,351499
2014,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,55010,2nd,Petrol,WB,348099
2018,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,22621,1st,Petrol,WB,621699
2018,Mahindra,Mahindra TUV300 T 10 MT Dual Tone,Manual,76226,1st,Diesel,WB,707999
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,33016,1st,Petrol,WB,498099
2020,Tata,Tata NEXON XZA+ (O) 1.5  RTQ,Automatic,73072,1st,Diesel,WB,1202399
2019,Hyundai,Hyundai VENUE 1.0 TURBO GDI SX+ AT,Automatic,15763,1st,Petrol,WB,1053099
2019,Maruti,Maruti Dzire VXI,Manual,25144,1st,Petrol,WB,588199
2021,Tata,Tata NEXON XZ+ SUNROOF 1.2 RTN,Manual,6555,1st,Petrol,WB,1044799
2019,Volkswagen,Volkswagen Ameo COMFORTLINE 1.0,Manual,27021,1st,Petrol,WB,441499
2016,Hyundai,Hyundai i20 Active 1.2 S,Manual,50214,2nd,Petrol,WB,536799
2019,Honda,Honda Civic ZX CVT PETROL,Automatic,9904,1st,Petrol,WB,1610199
2018,Maruti,Maruti Dzire VXI AMT,Automatic,60212,1st,Petrol,WB,568599
2019,Hyundai,Hyundai VENUE 1.0 TURBO GDI SX+ AT,Automatic,17838,1st,Petrol,WB,1020199
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,19021,1st,Petrol,WB,442199
2014,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,60608,1st,Petrol,WB,373399
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,27575,1st,Petrol,WB,436099
2013,Maruti,Maruti Wagon R 1.0 VXI,Manual,42697,1st,Petrol,WB,305699
2014,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,62281,1st,Petrol,WB,406599
2021,Hyundai,Hyundai GRAND I10 NIOS ASTA PETROL AMT,Automatic,3834,1st,Petrol,WB,743899
2015,Maruti,Maruti Wagon R 1.0 VXI,Manual,63582,1st,Petrol,WB,328199
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,17691,1st,Petrol,WB,351099
2019,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,33583,1st,Petrol,WB,512299
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,31575,1st,Petrol,WB,346099
2019,Maruti,Maruti Dzire ZXI,Manual,8087,1st,Petrol,WB,655699
2019,Renault,Renault TRIBER 1.0 RXL PETROL,Manual,29883,2nd,Petrol,WB,571899
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,12697,1st,Petrol,WB,599999
2022,Maruti,Maruti IGNIS ZETA 1.2 K12,Manual,2416,1st,Petrol,WB,693899
2018,Jeep,Jeep Compass LIMITED (O) 2.0,Manual,47631,2nd,Diesel,WB,1196599
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,10820,1st,Petrol,WB,650899
2020,Tata,Tata Harrier XZA,Automatic,28807,1st,Diesel,WB,1618099
2013,Maruti,Maruti Swift Dzire VDI,Manual,83859,1st,Diesel,WB,368799
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,46309,1st,Petrol,WB,612199
2020,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,5768,1st,Petrol,WB,945899
2021,Maruti,Maruti Alto VXI,Manual,7688,1st,Petrol,WB,400999
2020,Maruti,Maruti S PRESSO VXI PLUS,Manual,9323,2nd,Petrol,WB,459599
2018,Maruti,Maruti IGNIS DELTA 1.2 K12,Manual,12104,1st,Petrol,WB,482199
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,33269,2nd,Petrol,WB,603399
2021,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,13127,2nd,Petrol,WB,722399
2014,Toyota,Toyota Etios CROSS 1.5 V,Manual,59283,1st,Petrol,WB,397249
2017,Honda,Honda City VX CVT PETROL,Automatic,44987,2nd,Petrol,WB,748399
2019,KIA,KIA SELTOS GTK 1.4 GDI PETROL,Manual,25481,1st,Petrol,WB,1173399
2019,MG,MG HECTOR SHARP DCT PETROL,Automatic,23953,1st,Petrol,WB,1491599
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,42247,2nd,Petrol,WB,417399
2018,Maruti,Maruti Ciaz 1.5 SIGMA SHVS,Manual,18779,1st,Petrol,WB,668399
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,17286,1st,Petrol,WB,623999
2021,Skoda,Skoda Rapid 1.0 AMBITION TSI AT,Automatic,13677,1st,Petrol,WB,1105999
2020,Maruti,Maruti S PRESSO VXI,Manual,31651,1st,Petrol,WB,451699
2020,Maruti,Maruti S PRESSO VXI,Manual,53958,1st,Petrol,WB,446099
2018,Ford,Ford Ecosport TITANIUM PLUS 1.5 TI VCT MT,Manual,25345,1st,Petrol,WB,765599
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,66528,1st,Petrol,WB,434199
2020,Maruti,Maruti Dzire ZXI Plus,Manual,15485,1st,Petrol,WB,769599
2017,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,75368,1st,Petrol,WB,635999
2020,Maruti,Maruti Alto LXI,Manual,5557,1st,Petrol,WB,406199
2020,Skoda,Skoda Rapid STYLE 1.0TSI MT,Manual,20786,2nd,Petrol,WB,956199
2018,Hyundai,Hyundai Xcent SX 1.2,Manual,44174,1st,Petrol,WB,533299
2020,Maruti,Maruti Alto VXI,Manual,11233,1st,Petrol,WB,391299
2019,Maruti,Maruti Alto 800 LXI,Manual,10225,2nd,Petrol,WB,347599
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,24747,1st,Petrol,WB,618199
2018,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,28969,1st,Petrol,WB,644599
2020,Maruti,Maruti Alto VXI PLUS,Manual,53479,1st,Petrol,WB,416099
2014,Hyundai,Hyundai Xcent SX 1.2 OPT,Manual,91259,1st,Petrol,WB,345899
2014,Hyundai,Hyundai Xcent S 1.2,Manual,83419,1st,Petrol,WB,370999
2017,Maruti,Maruti Wagon R 1.0 VXI,Manual,55486,2nd,Petrol,WB,430199
2021,Hyundai,Hyundai VENUE 1.0L Turbo GDI SX(O) MT,Manual,24432,1st,Petrol,WB,1023399
2015,Maruti,Maruti Wagon R 1.0 VXI,Manual,48588,1st,Petrol,WB,368399
2019,Maruti,Maruti Alto 800 VXI,Manual,29001,2nd,Petrol,WB,365299
2019,Maruti,Maruti Alto 800 LXI,Manual,32252,1st,Petrol,WB,352899
2020,Maruti,Maruti Alto VXI,Manual,13046,2nd,Petrol,WB,385999
2018,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,22772,1st,Petrol,WB,669599
2018,Maruti,Maruti Alto 800 LXI,Manual,70121,1st,Petrol,WB,307599
2018,Maruti,Maruti Alto 800 LXI,Manual,20314,1st,Petrol,WB,336699
2018,Maruti,Maruti Alto 800 LXI,Manual,20926,1st,Petrol,WB,313899
2020,Mahindra,Mahindra KUV 100 NXT K6+ 6 STR,Manual,60094,2nd,Petrol,WB,532999
2019,Maruti,Maruti S PRESSO VXI PLUS,Manual,20948,2nd,Petrol,WB,404399
2018,Maruti,Maruti Alto K10 VXI (O) AMT,Automatic,44199,1st,Petrol,WB,383899
2020,Maruti,Maruti Alto LXI,Manual,32005,1st,Petrol,WB,329999
2020,Maruti,Maruti Alto LXI,Manual,26856,1st,Petrol,WB,369199
2011,Honda,Honda City S MT PETROL,Manual,40963,1st,Petrol,WB,276399
2020,Tata,Tata Tiago XT 1.2 REVOTRON,Manual,10030,1st,Petrol,WB,523499
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,18462,1st,Petrol,WB,403899
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,48692,1st,Petrol,WB,374699
2015,Honda,Honda Amaze 1.2 EXMT I VTEC,Manual,16443,2nd,Petrol,WB,333499
2018,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,38349,1st,Petrol,WB,736599
2013,Hyundai,Hyundai New Elantra S 1.8 MT,Manual,44869,2nd,Petrol,WB,420199
2014,Maruti,Maruti Swift Dzire VXI 1.2 BS IV,Manual,25911,2nd,Petrol,WB,340899
2013,Hyundai,Hyundai i20 MAGNA O 1.2,Manual,69785,1st,Petrol,WB,278499
2021,Renault,Renault Kwid RXL,Manual,3863,1st,Petrol,WB,425799
2013,Maruti,Maruti Swift Dzire VXI 1.2 BS IV,Manual,105554,1st,Petrol,WB,288699
2016,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,70882,1st,Petrol,WB,471999
2020,Maruti,Maruti Swift LXI,Manual,30620,1st,Petrol,UP,607999
2020,Renault,Renault TRIBER 1.0 RXL PETROL,Manual,89969,1st,Petrol,UP,541599
2020,Maruti,Maruti Swift VXI,Manual,22937,2nd,Petrol,UP,615099
2020,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,99139,1st,Petrol,UP,556999
2018,Maruti,Maruti Celerio VXI,Manual,14450,1st,Petrol,UP,467199
2020,Maruti,Maruti New  Wagon-R LXI CNG 1.0 L,Manual,90293,1st,Petrol + CNG,UP,584099
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,65440,1st,Petrol,UP,475099
2019,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT,Manual,21663,1st,Petrol,UP,640899
2020,Maruti,Maruti Swift VXI,Manual,57330,1st,Petrol,UP,571199
2016,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,18429,3rd,Petrol,UP,417999
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,4685,1st,Petrol,UP,566099
2018,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,25724,1st,Petrol,UP,584899
2019,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Manual,36020,1st,Petrol,UP,493599
2016,Volkswagen,Volkswagen Vento COMFORTLINE TDI AT,Automatic,63696,1st,Diesel,UP,591899
2021,Maruti,Maruti Swift VXI,Manual,13579,1st,Petrol,UP,700499
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,12478,1st,Petrol,UP,527599
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,51806,1st,Petrol,UP,397399
2020,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT,Manual,60065,1st,Petrol,UP,685499
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,35868,1st,Petrol,UP,531399
2016,Honda,Honda City V MT PETROL,Manual,64151,1st,Petrol,UP,608199
2019,Maruti,Maruti Dzire VXI,Manual,88544,1st,Petrol,UP,569499
2021,Renault,Renault Kwid 1.0 RXT Opt,Manual,10047,1st,Petrol,UP,521099
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,25664,1st,Petrol,UP,451199
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,17153,1st,Petrol,UP,519599
2021,Maruti,Maruti Alto LXI,Manual,2164,1st,Petrol,UP,410599
2022,Maruti,Maruti Celerio ZXI+,Manual,7219,1st,Petrol,UP,716099
