year,name,model,transmission,km,ownership,fuel,registeration,price
2017,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,20745,1st,Petrol,GJ,617699
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,30894,1st,Petrol,GJ,634999
2018,Volkswagen,Volkswagen Vento HIGHLINE TDI AT,Automatic,53682,1st,Diesel,GJ,949699
2020,Maruti,Maruti S PRESSO VXI OPT AGS,Automatic,29174,1st,Petrol,GJ,481499
2019,Hyundai,Hyundai Grand i10 1.2 KAPPA SPORTZ (O),Manual,34947,1st,Petrol,GJ,565499
2017,Maruti,Maruti Alto 800 LXI,Manual,36557,1st,Petrol,GJ,308499
2018,Honda,Honda City VX CVT PETROL,Automatic,62032,1st,Petrol,GJ,923799
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,48998,1st,Petrol,GJ,453399
2017,Hyundai,Hyundai Grand i10 Magna 1.2 AT  VTVT,Automatic,62017,1st,Petrol,GJ,510399
2022,Tata,Tata Harrier XZA+ DARK EDITION,Automatic,34847,1st,Diesel,GJ,2313499
2020,Maruti,Maruti Alto LXI,Manual,5955,1st,Petrol,GJ,395599
2020,Honda,Honda City VX CVT PETROL,Automatic,13369,1st,Petrol,GJ,1236699
2020,Tata,Tata NEXON XZ+ OPT PETROL,Manual,20693,1st,Petrol,GJ,994699
2017,Hyundai,Hyundai Grand i10 Magna 1.2 AT  VTVT,Automatic,40233,1st,Petrol,GJ,525299
2019,MG,MG HECTOR SHARP 2.0 DIESEL,Manual,55693,2nd,Diesel,GJ,1495099
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 DUAL TONE,Manual,52273,2nd,Petrol,GJ,683799
2018,Maruti,Maruti Dzire ZXI AMT,Automatic,51801,1st,Petrol,GJ,703799
2020,Ford,Ford FREESTYLE TITANIUM 1.2 TI-VCT MT,Manual,33275,1st,Petrol,GJ,702899
2017,Volkswagen,Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,Automatic,85502,1st,Petrol,GJ,770299
2019,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,60459,1st,Petrol,GJ,820899
2019,MG,MG HECTOR SHARP 2.0 DIESEL,Manual,93193,1st,Diesel,GJ,1491099
2018,Hyundai,Hyundai Xcent S 1.2,Manual,81353,1st,Petrol + CNG,GJ,556999
2018,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Automatic,50356,1st,Petrol,GJ,614399
2017,Honda,Honda WR-V 1.2 i-VTEC S MT,Manual,47843,2nd,Petrol + CNG,GJ,628599
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,79560,1st,Petrol + CNG,GJ,609599
2020,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,86283,1st,Petrol,GJ,978099
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,16731,2nd,Petrol,GJ,672999
2018,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,42280,1st,Petrol,GJ,682799
2017,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT,Automatic,39166,2nd,Petrol,GJ,570299
2017,Jeep,Jeep Compass 2.0 LIMITED 4*2,Manual,149075,1st,Diesel,GJ,918199
2019,Maruti,Maruti Alto LXI,Manual,63806,1st,Petrol,GJ,376999
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,22822,1st,Petrol,GJ,586499
2021,Maruti,Maruti Alto LXI,Manual,5716,2nd,Petrol,GJ,400499
2018,Ford,Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,Automatic,39528,3rd,Petrol,GJ,891799
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,50205,1st,Petrol,GJ,370199
2018,Volkswagen,Volkswagen Vento HIGHLINE PLUS TDI AT,Automatic,78458,1st,Diesel,GJ,904899
2018,Skoda,Skoda Octavia LK 1.8 TSI AT,Automatic,62284,1st,Petrol,GJ,1655149
2017,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT,Automatic,55510,1st,Petrol,GJ,599199
2017,Maruti,Maruti Ciaz ZETA 1.4 VVT AMT,Automatic,62847,1st,Petrol,GJ,750199
2020,Hyundai,Hyundai Verna SX (O) TURBO GDI AT,Automatic,31530,1st,Petrol,GJ,1268599
2017,Honda,Honda City VX CVT PETROL,Automatic,74969,1st,Petrol,GJ,874799
2017,Hyundai,Hyundai Grand i10 Sportz(O) 1.2 MT,Manual,39725,1st,Petrol,GJ,540699
2019,Honda,Honda Civic ZX CVT PETROL,Automatic,89766,1st,Petrol,GJ,1315799
2018,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,58151,1st,Petrol,GJ,790799
2021,Maruti,Maruti Alto VXI,Manual,7632,1st,Petrol,GJ,413299
2019,Renault,Renault Captur RXT PETROL,Manual,55608,2nd,Petrol,GJ,696799
2021,Maruti,Maruti Alto LXI,Manual,27401,1st,Petrol,GJ,334799
2018,Honda,Honda City ZX CVT,Automatic,50429,1st,Petrol,GJ,1091899
2017,Hyundai,Hyundai Verna 1.6 SX VTVT,Manual,49592,1st,Petrol,GJ,770799
2020,Maruti,Maruti S Cross ALPHA 1.5 SMART HYBRID,Manual,55400,1st,Petrol,GJ,1162299
2017,Hyundai,Hyundai New Elantra 1.6 SX AT O,Automatic,74862,1st,Diesel,GJ,1155399
2021,Maruti,Maruti Alto LXI,Manual,8075,1st,Petrol,GJ,418299
2018,Ford,Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,Automatic,73482,1st,Petrol,GJ,884799
2021,Maruti,Maruti Alto LXI,Manual,16379,1st,Petrol,GJ,399699
2018,Toyota,Toyota YARIS VX CVT,Automatic,51630,2nd,Petrol,GJ,914499
2021,Maruti,Maruti Alto LXI,Manual,36694,1st,Petrol,GJ,406299
2011,Maruti,Maruti Swift VXI,Manual,52822,1st,Petrol,GJ,327199
2021,Hyundai,Hyundai Creta S PETROL MT,Manual,2771,1st,Petrol,GJ,1232299
2021,Tata,Tata Safari XT 2.0 KRYOTEC,Manual,11835,1st,Diesel,GJ,1648799
2020,Maruti,Maruti Swift VXI,Manual,23034,2nd,Petrol,GJ,631249
2015,Maruti,Maruti Alto 800 LXI,Manual,25017,1st,Petrol,GJ,275999
2018,Maruti,Maruti Celerio VXI CNG,Manual,78516,2nd,Petrol + CNG,GJ,471899
2010,Hyundai,Hyundai i10 SPORTZ 1.2,Manual,97958,1st,Petrol,GJ,205299
2017,Mahindra,Mahindra XUV500 W10 FWD,Manual,64057,2nd,Diesel,GJ,994799
2014,Hyundai,Hyundai i10 MAGNA 1.1 IRDE2,Manual,83871,3rd,Petrol,GJ,310899
2018,Maruti,Maruti Swift LXI,Manual,22792,1st,Petrol,GJ,555799
2019,Tata,Tata Tiago XZA 1.2 REVOTRON,Automatic,68605,1st,Petrol + CNG,GJ,541899
2021,Maruti,Maruti Eeco 5 STR WITH AC PLUSHTR,Manual,5333,1st,Petrol,GJ,531399
2018,Maruti,Maruti Swift ZXI AMT,Automatic,42702,2nd,Petrol,GJ,615299
2021,Maruti,Maruti Eeco 5 STR WITH AC PLUSHTR,Manual,11684,1st,Petrol,GJ,531399
2022,Tata,Tata Tiago 1.2 XT (O),Manual,18290,1st,Petrol,GJ,631599
2017,Maruti,Maruti Eeco 5 STR WITH AC PLUSHTR,Manual,21443,1st,Petrol,GJ,441899
2021,Maruti,Maruti Eeco 5 STR WITH AC PLUSHTR,Manual,8619,1st,Petrol,GJ,531399
2016,Honda,Honda City V MT PETROL,Manual,72586,1st,Petrol,GJ,656399
2020,Maruti,Maruti Eeco 5 STR WITH AC PLUSHTR,Manual,38665,1st,Petrol,GJ,482299
2017,Maruti,Maruti Alto 800 VXI,Manual,97842,1st,Petrol,GJ,281599
2016,Hyundai,Hyundai Elite i20 Sportz 1.2 VTVT MT,Manual,45821,1st,Petrol,GJ,567199
2016,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,69959,1st,Petrol,GJ,406799
2017,Skoda,Skoda Rapid AMBITION 1.6 MPFI MT,Manual,84381,1st,Petrol,GJ,548699
2019,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,35484,1st,Petrol,GJ,518899
2017,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,67581,1st,Petrol,GJ,545299
2019,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,65144,1st,Petrol,GJ,696299
2020,Tata,Tata NEXON KRAZ AT PETROL,Automatic,16218,1st,Petrol,GJ,833799
2019,Maruti,Maruti Dzire ZDI AMT,Automatic,68477,2nd,Diesel,GJ,781499
2019,Maruti,Maruti Alto K10 VXI,Manual,44454,1st,Petrol,GJ,347499
2020,Hyundai,Hyundai VENUE S MT 1.2 KAPPA,Manual,8876,1st,Petrol,GJ,883099
2018,Tata,Tata Hexa Varicor 400 XTA,Automatic,62753,1st,Diesel,GJ,1002599
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,65118,1st,Petrol,GJ,416299
2011,Volkswagen,Volkswagen Beetle 2.0 AT,Automatic,13268,2nd,Petrol,KA,1553599
2013,Maruti,Maruti Alto 800 LXI,Manual,32519,1st,Petrol,KA,290499
2011,Maruti,Maruti Swift VXI,Manual,37071,2nd,Petrol,KA,387799
2012,Maruti,Maruti Alto LXI,Manual,20452,1st,Petrol,KA,245299
2019,Maruti,Maruti New  Wagon-R VXI 1.2L,Manual,3660,1st,Petrol,KA,597499
2011,Toyota,Toyota Etios Liva G,Manual,33641,2nd,Petrol,KA,388499
2012,Hyundai,Hyundai i10 SPORTZ 1.2 KAPPA2,Manual,28894,2nd,Petrol,KA,364799
2012,Maruti,Maruti Swift ZXI,Manual,47422,1st,Petrol,KA,502099
