year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2017,Hyundai Elite i20,SPORTZ 1.2,Manual,"29,237",1st ,Petrol,GJ,"11,885",Zero Down Payment,"6,07,899"
2020,Hyundai VENUE,SX 1.0 GDI IMT,Manual,"14,287",2nd ,Petrol,GJ,"17,816",Zero Down Payment,"9,48,699"
2021,Mahindra Thar,LX  4WD AT CONVERTIBLE,Automatic,"5,857",1st ,Petrol,GJ,"30,031",Zero Down Payment,"15,99,199"
2019,Hyundai NEW SANTRO,SPORTZ 1.1,Manual,"51,626",1st ,Petrol,GJ,"10,066",Zero Down Payment,"5,14,899"
2013,Hyundai Eon,ERA PLUS,Manual,"49,241",1st ,Petrol,GJ,"5,062",Zero Down Payment,"2,58,899"
2014,Volkswagen Vento,HIGHLINE DIESEL,Manual,"89,558",3rd ,Diesel,GJ,"9,576",Zero Down Payment,"4,89,799"
2020,Honda City,VX CVT PETROL,Automatic,"29,942",1st ,Petrol,GJ,"20,546",Zero Down Payment,"10,94,099"
2017,Hyundai Elite i20,ASTA 1.2 DUAL TONE,Manual,"65,342",1st ,Petrol,GJ,"12,132",Zero Down Payment,"6,20,549"
2018,Jeep Compass,2.0 LONGITUDE,Manual,"88,971",2nd ,Diesel,GJ,"21,402",Zero Down Payment,"11,39,699"
2020,Honda Civic,VX CVT i-VTEC,Automatic,"42,272",1st ,Petrol,GJ,"27,179",Zero Down Payment,"14,47,299"
2019,KIA SELTOS,HTK 1.5 PETROL,Manual,"19,788",1st ,Petrol,GJ,"19,194",Zero Down Payment,"10,22,099"
2021,Tata NEXON,XM 1.2,Manual,"18,963",1st ,Petrol,GJ,"15,686",Zero Down Payment,"8,35,299"
2020,Maruti S PRESSO,VXI,Manual,"10,338",1st ,Petrol,GJ,"8,056",Zero Down Payment,"4,12,049"
2020,Volkswagen Polo,HIGH LINE PLUS 1.0,Manual,"40,972",1st ,Petrol,GJ,"14,156",Zero Down Payment,"7,24,099"
2022,Renault TRIBER,1.0 RXZ,Manual,"2,263",1st ,Petrol,GJ,"15,680",Zero Down Payment,"8,34,999"
2022,Mahindra Thar,LX D AT 4WD HT,Automatic,"9,297",1st ,Diesel,GJ,"33,616",Zero Down Payment,"17,90,099"
2015,Hyundai Xcent,S 1.2 OPT,Manual,"26,916",1st ,Petrol,GJ,"9,390",Zero Down Payment,"4,80,299"
2020,MG HECTOR,SHARP DCT PETROL,Automatic,"17,482",1st ,Petrol,GJ,"29,624",Zero Down Payment,"15,77,499"
2014,Maruti Celerio,VXI AMT,Automatic,"96,281",2nd ,Petrol,GJ,"7,085",Zero Down Payment,"3,62,399"
2016,Maruti Alto 800,LXI,Manual,"46,016",1st ,Petrol,GJ,"5,802",Zero Down Payment,"2,96,799"
2016,Hyundai i20 Active,1.2 S,Manual,"54,989",2nd ,Petrol,MH,"10,209",Zero Down Payment,"5,22,199"
2019,Renault Kwid,RXL,Manual,"19,549",1st ,Petrol,GJ,"8,193",Zero Down Payment,"4,19,099"
2020,Mahindra XUV500,W11,Manual,"80,016",1st ,Diesel,GJ,"27,825",Zero Down Payment,"14,81,699"
2020,MG HECTOR,SHARP DCT PETROL,Automatic,"17,637",1st ,Petrol,GJ,"28,965",Zero Down Payment,"15,42,399"
2020,MG HECTOR,SHARP DCT PETROL,Automatic,"27,940",1st ,Petrol,GJ,"27,804",Zero Down Payment,"14,80,599"
2019,Maruti Celerio X,Zxi AMT,Automatic,"67,679",1st ,Petrol,GJ,"9,003",Zero Down Payment,"4,60,499"
2019,Hyundai Verna,1.6 SX (O) CRDI MT,Manual,"87,829",2nd ,Diesel,GJ,"18,963",Zero Down Payment,"10,09,799"
2017,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"16,475",2nd ,Petrol,GJ,"10,021",Zero Down Payment,"5,12,599"
2014,Honda City,V MT PETROL,Manual,"87,296",2nd ,Petrol,KA,"10,559",Zero Down Payment,"5,40,099"
