year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2019,Maruti Baleno,DELTA 1.2 K12,Manual,"25,853",1st ,Petrol,HR,"12,393",Zero Down Payment,"6,33,899"
2014,Hyundai Xcent,S 1.2 OPT,Manual,"90,060",1st ,Petrol,DL,"7,916",Zero Down Payment,"4,04,899"
2018,Tata NEXON,XMA 1.5,Manual,"78,374",1st ,Diesel,UP,"14,544",Zero Down Payment,"7,43,949"
2018,Maruti Vitara Brezza,ZDI + AMT,Automatic,"16,165",2nd ,Diesel,HR,"17,320",Zero Down Payment,"9,22,299"
2015,Hyundai Elite i20,ASTA 1.2,Manual,"52,391",1st ,Petrol,DL,"10,975",Zero Down Payment,"5,61,399"
2019,Tata Harrier,XM 2.0L Kryotec,Manual,"49,212",1st ,Diesel,HR,"22,865",Zero Down Payment,"12,17,599"
2016,Maruti Swift,LXI OPT,Manual,"57,873",2nd ,Petrol,DL,"8,078",Zero Down Payment,"4,13,199"
2017,Maruti Alto K10,VXI,Manual,"66,997",1st ,Petrol,HR,"6,604",Zero Down Payment,"3,37,799"
2018,Maruti Alto K10,VXI,Manual,"37,134",1st ,Petrol,HR,"6,839",Zero Down Payment,"3,49,799"
2019,Maruti Baleno,DELTA 1.2 K12,Manual,"25,639",1st ,Petrol,HR,"12,391",Zero Down Payment,"6,33,799"
2015,Maruti Swift,VXI,Manual,"62,969",1st ,Petrol,UP,"7,689",Zero Down Payment,"3,93,299"
2018,Maruti Wagon R 1.0,LXI CNG,Manual,"82,470",1st ,Petrol + CNG,DL,"8,596",Zero Down Payment,"4,39,699"
2017,Toyota Innova Crysta,2.8 ZX AT 7 STR,Automatic,"85,182",1st ,Diesel,HR,"32,313",Zero Down Payment,"17,20,699"
2017,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"34,913",1st ,Petrol,DL,"9,578",Zero Down Payment,"4,89,899"
2017,Maruti Alto K10,VXI,Manual,"22,714",1st ,Petrol,DL,"6,960",Zero Down Payment,"3,55,999"
2019,Maruti XL6,ALPHA SHVS  MT,Manual,"15,499",1st ,Petrol,DL,"20,278",Zero Down Payment,"10,79,799"
2017,Maruti Wagon R 1.0,LXI,Manual,"18,705",1st ,Petrol,DL,"8,193",Zero Down Payment,"4,19,099"
2018,Maruti Alto 800,LXI,Manual,"20,589",1st ,Petrol,DL,"6,698",Zero Down Payment,"3,42,599"
2021,Tata NEXON,XZ+ 1.5,Manual,"7,082",1st ,Diesel,UP,"21,876",Zero Down Payment,"11,64,899"
2013,Maruti Swift,LXI,Manual,"53,701",1st ,Petrol,UP,"7,312",Zero Down Payment,"3,73,999"
2021,Maruti Alto,LXI CNG,Manual,"30,144",1st ,Petrol + CNG,HR,"9,396",Zero Down Payment,"4,80,599"
2017,Maruti Alto 800,VXI,Manual,"21,719",1st ,Petrol,DL,"5,967",Zero Down Payment,"3,05,199"
2015,Honda City,VX CVT PETROL,Automatic,"76,436",2nd ,Petrol + CNG,DL,"13,683",Zero Down Payment,"6,99,899"
2021,Hyundai NEW SANTRO,SPORTZ EXECUTIVE CNG,Manual,"31,827",1st ,Petrol + CNG,DL,"12,258",Zero Down Payment,"6,26,999"
2018,Maruti Wagon R 1.0,VXI,Manual,"43,295",1st ,Petrol,DL,"8,274",Zero Down Payment,"4,23,199"
2018,Honda Amaze,1.2 VXMT I VTEC,Manual,"24,330",2nd ,Petrol,UP,"13,634",Zero Down Payment,"6,97,399"
2017,Maruti Baleno,DELTA 1.2 K12,Manual,"45,032",1st ,Petrol,UP,"10,712",Zero Down Payment,"5,47,899"
2015,Hyundai Elite i20,SPORTZ 1.2,Manual,"58,613",2nd ,Petrol,HR,"9,965",Zero Down Payment,"5,09,699"
2018,Hyundai Grand i10,SPORTZ O 1.2,Manual,"31,410",1st ,Petrol,DL,"9,726",Zero Down Payment,"4,97,499"
2021,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"5,150",1st ,Petrol,HR,"20,912",Zero Down Payment,"11,13,599"
2018,Maruti Alto 800,LXI,Manual,"22,060",1st ,Petrol,DL,"6,698",Zero Down Payment,"3,42,599"
2018,Maruti Swift,VXI,Manual,"93,871",1st ,Petrol,DL,"9,930",Zero Down Payment,"5,07,899"
2019,Maruti Alto 800,LXI,Manual,"36,272",1st ,Petrol,HR,"6,678",Zero Down Payment,"3,41,599"
2018,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"39,637",1st ,Petrol,UP,"9,793",Zero Down Payment,"5,00,899"
2017,Hyundai Elite i20,SPORTZ 1.2,Manual,"85,249",2nd ,Petrol,UP,"10,708",Zero Down Payment,"5,47,699"
2020,Maruti Vitara Brezza,ZXI+ DUAL TONE,Manual,"28,347",1st ,Petrol,UP,"17,904",Zero Down Payment,"9,53,399"
2014,Hyundai i20,SPORTZ 1.2 VTVT,Manual,"55,937",1st ,Petrol,DL,"8,747",Zero Down Payment,"4,47,399"
2014,Hyundai Elite i20,ASTA 1.2,Manual,"54,771",2nd ,Petrol,DL,"9,226",Zero Down Payment,"4,71,899"
2016,Maruti Alto K10,VXI AMT,Automatic,"31,102",1st ,Petrol,UP,"6,747",Zero Down Payment,"3,45,099"
2021,Maruti Alto,LXI CNG,Manual,"23,812",1st ,Petrol + CNG,DL,"9,126",Zero Down Payment,"4,66,799"
2018,Maruti Alto 800,LXI,Manual,"32,198",1st ,Petrol,HR,"6,620",Zero Down Payment,"3,38,599"
2018,Hyundai Tucson New,2WD MT PETROL,Manual,"86,670",2nd ,Petrol,UP,"27,569",Zero Down Payment,"14,68,099"
2016,Hyundai Creta,1.6 S,Manual,"75,256",1st ,Petrol,DL,"15,329",Zero Down Payment,"8,16,299"
2020,Hyundai Creta,E,Manual,"62,128",1st ,Diesel,UP,"20,946",Zero Down Payment,"11,15,399"
2018,Maruti IGNIS,ZETA 1.2 K12,Manual,"34,211",1st ,Petrol,DL,"9,732",Zero Down Payment,"4,97,799"
2018,Maruti Baleno,ZETA 1.2 K12,Manual,"36,411",1st ,Petrol,HR,"12,381",Zero Down Payment,"6,33,299"
2018,Maruti Alto K10,VXI (O) AMT,Automatic,"14,593",2nd ,Petrol,DL,"7,697",Zero Down Payment,"3,93,699"
2022,Tata NEXON,XZ+ 1.5,Manual,"10,412",1st ,Diesel,HR,"22,672",Zero Down Payment,"12,07,299"
2014,Maruti Alto 800,LXI,Manual,"49,102",1st ,Petrol,DL,"5,007",Zero Down Payment,"2,56,099"
2014,Maruti Swift Dzire,LXI 1.2 BS IV,Manual,"58,920",1st ,Petrol,UP,"7,578",Zero Down Payment,"3,87,599"
2015,Maruti Alto K10,VXI,Manual,"58,267",1st ,Petrol,HR,"5,970",Zero Down Payment,"3,05,349"
2014,Hyundai Xcent,BASE 1.2,Manual,"88,737",2nd ,Petrol,HR,"7,304",Zero Down Payment,"3,73,599"
2016,Maruti Baleno,DELTA 1.2 K12,Manual,"45,729",1st ,Petrol,DL,"10,211",Zero Down Payment,"5,22,299"
2013,Toyota Etios,V SP,Manual,"36,015",1st ,Petrol,HR,"7,636",Zero Down Payment,"3,90,599"
2014,Honda Amaze,1.2 EXMT I VTEC,Manual,"85,454",1st ,Petrol,DL,"7,314",Zero Down Payment,"3,74,099"
2017,Maruti Dzire,VXI,Manual,"49,507",2nd ,Petrol,DL,"10,835",Zero Down Payment,"5,54,199"
2021,Honda City,ZX CVT,Automatic,"8,173",1st ,Petrol,DL,"28,077",Zero Down Payment,"14,95,149"
2014,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"66,283",1st ,Petrol,UP,"7,296",Zero Down Payment,"3,73,199"
2018,Maruti Wagon R 1.0,VXI AMT,Automatic,"24,061",2nd ,Petrol,DL,"9,539",Zero Down Payment,"4,87,899"
2017,Maruti Baleno,ZETA 1.2 K12,Manual,"47,400",2nd ,Petrol,HR,"10,178",Zero Down Payment,"5,20,599"
2014,Maruti Alto K10,VXI,Manual,"49,449",1st ,Petrol,HR,"5,382",Zero Down Payment,"2,75,299"
2016,Hyundai Verna,FLUIDIC 1.6 VTVT S AT,Automatic,"93,496",1st ,Petrol,HR,"13,886",Zero Down Payment,"7,10,299"
2018,Maruti IGNIS,DELTA 1.2 K12,Manual,"29,535",1st ,Petrol,HR,"9,425",Zero Down Payment,"4,82,099"
2021,Hyundai NEW SANTRO,SPORTZ EXECUTIVE CNG,Manual,"52,922",1st ,Petrol + CNG,DL,"12,258",Zero Down Payment,"6,26,999"
2018,Maruti Wagon R 1.0,VXI AMT,Automatic,"38,557",2nd ,Petrol,DL,"9,312",Zero Down Payment,"4,76,299"
2021,Datsun Redi Go,T (O),Manual,"13,153",1st ,Petrol,HR,"8,391",Zero Down Payment,"4,29,199"
2018,Mahindra Scorpio,S7 120 BHP 2WD,Manual,"42,679",1st ,Diesel,UP,"18,439",Zero Down Payment,"9,81,899"
2014,Hyundai Xcent,S 1.2 OPT,Manual,"49,326",1st ,Petrol,HR,"8,676",Zero Down Payment,"4,43,799"
2019,Hyundai VENUE,1.0 TURBO GDI SX+ AT,Automatic,"16,373",1st ,Petrol,HR,"21,213",Zero Down Payment,"11,29,599"
2019,Maruti Alto K10,VXI,Manual,"17,811",1st ,Petrol,DL,"7,917",Zero Down Payment,"4,04,969"
2021,Maruti S Cross,SIGMA 1.5 SHVS,Manual,"17,888",1st ,Petrol,UP,"18,792",Zero Down Payment,"10,00,699"
2021,Maruti Alto,LXI CNG,Manual,"20,206",1st ,Petrol + CNG,HR,"10,074",Zero Down Payment,"5,15,299"
2013,Maruti Swift,VXI,Manual,"56,871",2nd ,Petrol,DL,"7,668",Zero Down Payment,"3,92,199"
2019,Maruti XL6,ZETA SHVS,Manual,"37,577",1st ,Petrol,DL,"16,368",Zero Down Payment,"8,71,599"
2014,Honda City,VX MT PETROL,Manual,"61,168",2nd ,Petrol,HR,"12,565",Zero Down Payment,"6,42,699"
2017,Honda City,SV MT PETROL,Manual,"59,333",1st ,Petrol,HR,"13,554",Zero Down Payment,"6,93,299"
2017,Hyundai Elite i20,ASTA 1.2 (O),Manual,"60,259",1st ,Petrol,UP,"13,417",Zero Down Payment,"6,86,299"
2017,Maruti Alto 800,VXI,Manual,"45,286",1st ,Petrol,UP,"6,211",Zero Down Payment,"3,17,699"
2019,Maruti Alto K10,VXI,Manual,"17,543",1st ,Petrol,DL,"8,102",Zero Down Payment,"4,14,399"
2012,Hyundai i10,SPORTZ 1.2 AT KAPPA2,Automatic,"62,860",2nd ,Petrol,DL,"6,362",Zero Down Payment,"3,25,399"
2021,Mahindra Scorpio,S11,Manual,"14,445",2nd ,Diesel,UP,"33,550",Zero Down Payment,"17,86,599"
2016,Maruti Alto K10,LXI CNG,Manual,"87,061",1st ,Petrol + CNG,DL,"7,083",Zero Down Payment,"3,62,299"
2021,Maruti Alto,VXI,Manual,"1,842",1st ,Petrol,HR,"8,252",Zero Down Payment,"4,22,099"
2018,Maruti Alto K10,VXI,Manual,"32,393",1st ,Petrol,DL,"7,292",Zero Down Payment,"3,72,999"
2015,Honda Jazz,1.2 VX I-VTECH,Manual,"28,170",1st ,Petrol,HR,"10,176",Zero Down Payment,"5,20,499"
2019,Maruti Alto K10,VXI,Manual,"34,538",1st ,Petrol,UP,"7,792",Zero Down Payment,"3,98,549"
2019,MG HECTOR,SHARP DCT PETROL,Automatic,"33,925",1st ,Petrol,DL,"30,612",Zero Down Payment,"16,30,099"
2014,Maruti Swift Dzire,VXI,Manual,"38,505",2nd ,Petrol,DL,"8,164",Zero Down Payment,"4,17,599"
2014,Honda Amaze,1.2 SX MT I VTEC,Manual,"93,023",1st ,Petrol,DL,"8,209",Zero Down Payment,"4,19,899"
2016,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"74,938",1st ,Petrol,DL,"8,860",Zero Down Payment,"4,53,199"
2014,Hyundai i20,SPORTZ 1.2 VTVT,Manual,"50,802",1st ,Petrol,HR,"8,800",Zero Down Payment,"4,50,099"
2018,Hyundai Creta,1.6 S AT CRDI,Automatic,"40,644",1st ,Diesel,HR,"19,014",Zero Down Payment,"10,12,499"
2014,Audi Q5,30 TDI PREMIUM PLUS,Automatic,"33,405",1st ,Diesel,DL,"31,425",Zero Down Payment,"16,73,399"
2020,Skoda Rapid,1.0 AMBITION TSI AT,Automatic,"54,698",1st ,Petrol,DL,"19,720",Zero Down Payment,"10,50,099"
2017,Maruti Alto K10,VXI,Manual,"44,907",2nd ,Petrol,DL,"6,870",Zero Down Payment,"3,51,399"
2017,Maruti Baleno,ZETA 1.2 K12,Manual,"53,807",1st ,Petrol,DL,"11,071",Zero Down Payment,"5,66,299"
2020,Toyota YARIS,J CVT,Automatic,"9,256",2nd ,Petrol,DL,"18,264",Zero Down Payment,"9,72,599"
2017,Maruti Alto 800,LXI,Manual,"37,367",1st ,Petrol,DL,"6,313",Zero Down Payment,"3,22,899"
2019,Maruti Alto 800,LXI,Manual,"58,321",1st ,Petrol + CNG,HR,"6,430",Zero Down Payment,"3,28,899"
2018,Maruti IGNIS,DELTA 1.2 K12,Manual,"92,618",1st ,Petrol,DL,"9,523",Zero Down Payment,"4,87,099"
2021,Maruti S PRESSO,VXI PLUS,Manual,"3,582",1st ,Petrol,HR,"9,623",Zero Down Payment,"4,92,199"
2020,Tata ALTROZ,XZ 1.2,Manual,"18,544",1st ,Petrol,DL,"15,510",Zero Down Payment,"8,25,899"
2018,Maruti Alto 800,LXI,Manual,"24,990",1st ,Petrol,DL,"6,698",Zero Down Payment,"3,42,599"
2014,Maruti Swift,ZXI,Manual,"56,991",1st ,Petrol,DL,"8,786",Zero Down Payment,"4,49,399"
2018,Maruti Alto K10,VXI,Manual,"23,179",1st ,Petrol,UP,"7,630",Zero Down Payment,"3,90,299"
2020,Mahindra Scorpio,S9,Manual,"55,372",1st ,Diesel,HR,"27,579",Zero Down Payment,"14,68,599"
2020,Maruti Alto,LXI,Manual,"10,487",1st ,Petrol,UP,"7,200",Zero Down Payment,"3,68,299"
2019,Maruti Alto K10,VXI,Manual,"38,921",1st ,Petrol,DL,"7,423",Zero Down Payment,"3,79,699"
2019,Maruti Baleno,ZETA 1.2 K12,Manual,"53,447",1st ,Petrol,DL,"12,712",Zero Down Payment,"6,50,199"
2017,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"35,493",2nd ,Petrol + CNG,HR,"9,578",Zero Down Payment,"4,89,899"
2018,Maruti Alto K10,VXI,Manual,"40,324",1st ,Petrol,DL,"7,212",Zero Down Payment,"3,68,899"
2018,Hyundai Creta,1.6 SX AT CRDI,Automatic,"39,372",1st ,Diesel,HR,"23,770",Zero Down Payment,"12,65,799"
2016,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"62,890",1st ,Petrol,HR,"9,378",Zero Down Payment,"4,79,699"
2017,Toyota Corolla Altis,GL,Manual,"44,929",2nd ,Petrol,DL,"22,963",Zero Down Payment,"12,22,799"
2014,Maruti Wagon R 1.0,VXI,Manual,"66,606",2nd ,Petrol,HR,"6,256",Zero Down Payment,"3,19,999"
2019,Maruti Vitara Brezza,ZDI AMT,Automatic,"31,588",1st ,Diesel,DL,"17,530",Zero Down Payment,"9,33,499"
2019,Honda Amaze,1.2 V CVT I VTEC,Automatic,"30,185",1st ,Petrol,DL,"14,868",Zero Down Payment,"7,60,499"
2015,Maruti Swift,VXI,Manual,"60,643",1st ,Petrol,DL,"8,123",Zero Down Payment,"4,15,499"
2020,Maruti Baleno,DELTA 1.2 K12,Manual,"28,613",1st ,Petrol,HR,"13,888",Zero Down Payment,"7,10,399"
2014,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"63,096",1st ,Petrol,HR,"7,802",Zero Down Payment,"3,99,099"
2019,Maruti Ciaz,ALPHA 1.5 AT SHVS,Automatic,"81,454",1st ,Petrol,HR,"15,374",Zero Down Payment,"8,18,699"
2018,Maruti IGNIS,ZETA 1.2 K12,Manual,"45,876",1st ,Petrol,DL,"9,845",Zero Down Payment,"5,03,599"
2017,Honda Jazz,1.2 V AT,Automatic,"26,995",1st ,Petrol,DL,"13,431",Zero Down Payment,"6,86,999"
2015,Maruti Alto K10,LXI CNG,Manual,"74,103",1st ,Petrol + CNG,DL,"6,039",Zero Down Payment,"3,08,899"
2015,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"47,146",2nd ,Petrol,HR,"8,676",Zero Down Payment,"4,43,799"
2017,Ford Ecosport,1.5 AMBIENTE TDCI,Manual,"1,07,067",1st ,Diesel,DL,"9,904",Zero Down Payment,"5,06,599"
2020,KIA SELTOS,GTX + AT PETROL,Automatic,"28,411",1st ,Petrol,HR,"34,178",Zero Down Payment,"18,19,999"
2021,Maruti S Cross,SIGMA 1.5 SHVS,Manual,"9,620",1st ,Petrol,DL,"17,686",Zero Down Payment,"9,41,799"
2018,Maruti Baleno,DELTA 1.2 K12,Manual,"51,337",1st ,Petrol,DL,"10,561",Zero Down Payment,"5,40,199"
2020,Tata ALTROZ,XZ 1.2,Manual,"16,787",1st ,Petrol,HR,"15,297",Zero Down Payment,"8,14,599"
2021,Maruti Alto,VXI,Manual,"20,144",1st ,Petrol,DL,"7,591",Zero Down Payment,"3,88,299"
2018,Honda Amaze,1.5 V CVT I-DTEC,Automatic,"70,270",2nd ,Diesel,DL,"12,489",Zero Down Payment,"6,38,799"
2019,Tata NEXON,XZA + 1.2 PETROL A/T,Automatic,"26,642",1st ,Petrol,DL,"17,373",Zero Down Payment,"9,25,149"
2020,Skoda Rapid,1.0 AMBITION TSI AT,Automatic,"16,292",2nd ,Petrol,HR,"19,819",Zero Down Payment,"10,55,399"
2019,Hyundai VENUE,1.4 CRDI S MT,Manual,"29,776",1st ,Diesel,HR,"16,659",Zero Down Payment,"8,87,099"
2018,Maruti Baleno,DELTA 1.2 K12,Manual,"50,893",1st ,Petrol,HR,"10,784",Zero Down Payment,"5,51,599"
2018,Ford Ecosport,1.5TITANIUM TDCI,Manual,"18,459",1st ,Diesel,DL,"15,587",Zero Down Payment,"7,97,299"
2020,Maruti S PRESSO,VXI OPT AGS,Automatic,"23,738",1st ,Petrol,HR,"9,433",Zero Down Payment,"4,82,499"
2018,Maruti Vitara Brezza,ZDI + AMT,Automatic,"31,812",2nd ,Diesel,HR,"17,632",Zero Down Payment,"9,38,899"
2022,Honda WR-V,1.2 i-VTEC VX MT,Manual,"6,644",1st ,Petrol,DL,"19,412",Zero Down Payment,"10,33,699"
2018,Tata Hexa,Varicor 400 XMA,Automatic,"67,729",2nd ,Diesel,HR,"21,124",Zero Down Payment,"11,24,899"
2014,Maruti Swift,LXI,Manual,"54,460",3rd ,Petrol,DL,"6,618",Zero Down Payment,"3,38,499"
2017,Maruti Swift,VXI,Manual,"14,307",1st ,Petrol,HR,"10,803",Zero Down Payment,"5,52,599"
2014,Hyundai Elite i20,SPORTZ 1.2,Manual,"68,195",1st ,Petrol,DL,"9,709",Zero Down Payment,"4,96,599"
2020,Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT,Automatic,"16,160",1st ,Petrol,HR,"13,826",Zero Down Payment,"7,07,199"
2014,Hyundai i20,MAGNA O 1.2,Manual,"49,540",1st ,Petrol,HR,"8,079",Zero Down Payment,"4,13,249"
2018,Maruti Alto 800,LXI,Manual,"41,435",1st ,Petrol,UP,"6,029",Zero Down Payment,"3,08,399"
2021,Hyundai GRAND I10 NIOS,SPORTZ CNG MT,Manual,"8,463",1st ,Petrol + CNG,DL,"15,364",Zero Down Payment,"7,85,899"
2019,Maruti Alto,VXI,Manual,"23,009",1st ,Petrol,UP,"7,795",Zero Down Payment,"3,98,699"
2015,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT OPT,Manual,"84,475",1st ,Petrol,HR,"8,420",Zero Down Payment,"4,30,699"
2013,Hyundai Grand i10,ASTA 1.2 VTVT,Manual,"79,166",1st ,Petrol,UP,"8,350",Zero Down Payment,"4,27,099"
2021,Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT CNG,Manual,"42,209",1st ,Petrol + CNG,HR,"14,090",Zero Down Payment,"7,20,699"
2020,Tata ALTROZ,XZ 1.2,Manual,"15,011",1st ,Petrol,DL,"15,549",Zero Down Payment,"8,27,999"
2021,Tata NEXON,XZA + 1.2 PETROL A/T,Automatic,"17,742",1st ,Petrol,DL,"19,829",Zero Down Payment,"10,55,899"
2021,Maruti Alto,VXI PLUS,Manual,"4,889",1st ,Petrol,HR,"7,967",Zero Down Payment,"4,07,499"
2017,Honda City,VX CVT PETROL,Automatic,"52,674",1st ,Petrol,HR,"17,342",Zero Down Payment,"9,23,499"
2019,Hyundai Creta,1.4 S CRDI,Manual,"71,968",1st ,Diesel,HR,"16,839",Zero Down Payment,"8,96,699"
2020,MG HECTOR PLUS,SHARP HYBRID PETROL,Manual,"12,343",2nd ,Petrol,DL,"30,225",Zero Down Payment,"16,09,499"
2015,Maruti Alto K10,VXI OPT,Manual,"45,330",1st ,Petrol,DL,"6,545",Zero Down Payment,"3,34,799"
2017,Maruti Baleno,ZETA 1.2 K12,Manual,"57,684",1st ,Petrol,HR,"10,471",Zero Down Payment,"5,35,599"
2020,Toyota Glanza,G CVT,Automatic,"6,550",1st ,Petrol,DL,"16,135",Zero Down Payment,"8,59,199"
2019,Maruti S Cross,ALPHA SHVS,Manual,"50,363",1st ,Diesel,HR,"18,595",Zero Down Payment,"9,90,199"
2018,Datsun Redi Go,1.0 S AT,Automatic,"22,766",2nd ,Petrol,DL,"7,668",Zero Down Payment,"3,92,199"
2016,Maruti Baleno,ALPHA 1.2 K12,Manual,"56,720",2nd ,Petrol,DL,"10,539",Zero Down Payment,"5,39,099"
2013,Maruti Swift,VXI,Manual,"51,491",2nd ,Petrol,HR,"7,054",Zero Down Payment,"3,60,799"
2021,Maruti IGNIS,DELTA 1.2 K12,Manual,"12,799",1st ,Petrol,UP,"12,571",Zero Down Payment,"6,42,999"
2012,Honda Brio,1.2 S MT I VTEC,Manual,"42,401",1st ,Petrol,HR,"5,939",Zero Down Payment,"3,03,799"
2014,Maruti Swift,VXI,Manual,"79,066",1st ,Petrol,DL,"7,670",Zero Down Payment,"3,92,299"
2015,Maruti Alto K10,VXI OPT,Manual,"34,559",2nd ,Petrol,DL,"6,364",Zero Down Payment,"3,25,499"
2021,Maruti IGNIS,ALPHA 1.2 K12 AMT,Automatic,"9,854",1st ,Petrol,DL,"15,215",Zero Down Payment,"8,10,199"
2015,Hyundai Elite i20,ASTA 1.2,Manual,"67,217",1st ,Petrol,DL,"9,542",Zero Down Payment,"4,88,099"
2015,Maruti Baleno,DELTA 1.2 K12,Manual,"73,790",1st ,Petrol,DL,"9,744",Zero Down Payment,"4,98,399"
2018,Maruti IGNIS,ZETA 1.2 K12,Manual,"54,413",2nd ,Petrol,HR,"9,525",Zero Down Payment,"4,87,199"
2017,Hyundai Grand i10,Sportz(O) 1.2 MT,Manual,"28,590",1st ,Petrol,DL,"10,279",Zero Down Payment,"5,25,799"
2015,Maruti Swift,VXI,Manual,"82,164",1st ,Petrol,DL,"8,061",Zero Down Payment,"4,12,299"
2019,Maruti XL6,ALPHA SHVS  MT,Manual,"57,244",1st ,Petrol,HR,"18,026",Zero Down Payment,"9,59,899"
2020,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"30,301",1st ,Diesel,UP,"24,187",Zero Down Payment,"12,87,999"
2018,Hyundai Creta,1.6 SX AT CRDI,Automatic,"40,671",2nd ,Diesel,HR,"24,629",Zero Down Payment,"13,11,499"
2017,Maruti Alto K10,VXI OPT,Manual,"48,441",1st ,Petrol,DL,"7,052",Zero Down Payment,"3,60,699"
2014,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"47,940",1st ,Petrol,DL,"8,401",Zero Down Payment,"4,29,699"
2015,Renault Duster,85 PS RXE DIESEL ADVENTURE,Manual,"55,669",1st ,Diesel,DL,"8,246",Zero Down Payment,"4,21,799"
2017,Ford Ecosport,1.5 TREND TI VCT,Manual,"64,811",1st ,Petrol,DL,"11,550",Zero Down Payment,"5,90,799"
2017,Honda City,VX MT PETROL,Manual,"55,676",1st ,Petrol,UP,"15,053",Zero Down Payment,"8,01,599"
2014,Mercedes Benz C Class,C 200 AVANTGARDE,Automatic,"37,838",1st ,Petrol,UP,"34,826",Zero Down Payment,"18,54,499"
2018,Hyundai Creta,1.6 SX (O) CRDI,Manual,"60,418",2nd ,Diesel,UP,"17,834",Zero Down Payment,"9,49,699"
2018,Maruti Alto 800,LXI,Manual,"29,741",1st ,Petrol,DL,"6,199",Zero Down Payment,"3,17,099"
2020,Tata ALTROZ,XZ 1.2,Manual,"23,603",1st ,Petrol,DL,"15,371",Zero Down Payment,"8,18,499"
2020,Tata ALTROZ,XZ 1.2,Manual,"17,179",1st ,Petrol,DL,"15,535",Zero Down Payment,"7,94,599"
2018,Maruti S Cross,ZETA 1.3 SHVS,Manual,"22,938",1st ,Diesel,DL,"15,479",Zero Down Payment,"8,24,299"
2015,Hyundai i20 Active,1.2 S,Manual,"94,499",2nd ,Petrol + CNG,HR,"9,800",Zero Down Payment,"5,01,299"
2020,Tata ALTROZ,XZ 1.2,Manual,"20,718",2nd ,Petrol,HR,"14,868",Zero Down Payment,"7,60,499"
2019,MG HECTOR,SHARP DCT PETROL,Automatic,"45,037",1st ,Petrol,HR,"28,771",Zero Down Payment,"15,32,099"
2018,Tata Hexa,Varicor 400 XMA,Automatic,"76,644",1st ,Diesel,DL,"20,405",Zero Down Payment,"10,86,599"
2021,Mahindra Thar,LX D 4*4 MT HT,Manual,"42,608",1st ,Diesel,HR,"29,124",Zero Down Payment,"15,50,899"
2019,Maruti Alto,LXI,Manual,"71,318",1st ,Petrol,UP,"5,683",Zero Down Payment,"2,90,699"
2018,Hyundai Creta,1.6 SX CRDI,Manual,"77,443",1st ,Diesel,HR,"18,056",Zero Down Payment,"9,61,499"
2018,Maruti Alto 800,VXI (O),Manual,"31,678",1st ,Petrol,UP,"6,733",Zero Down Payment,"3,44,399"
2019,MG HECTOR,SHARP DCT PETROL,Automatic,"58,968",1st ,Petrol,HR,"28,420",Zero Down Payment,"15,13,399"
2021,Skoda Rapid,MONTE CARLO 1.0 MT,Manual,"35,096",1st ,Petrol,DL,"22,375",Zero Down Payment,"11,91,499"
2018,Maruti S Cross,ALPHA SHVS,Manual,"13,730",1st ,Diesel,DL,"20,944",Zero Down Payment,"11,15,299"
2020,Maruti S PRESSO,VXI PLUS,Manual,"48,914",1st ,Petrol,HR,"7,847",Zero Down Payment,"4,01,399"
2017,Ford Ecosport,1.5 TITANIUM TI VCT,Manual,"48,593",1st ,Petrol,DL,"13,198",Zero Down Payment,"6,75,099"
2018,Honda BR-V,1.5 i- DTEC S,Manual,"38,362",1st ,Diesel,HR,"17,684",Zero Down Payment,"9,41,699"
2016,Maruti Alto 800,LXI,Manual,"58,807",2nd ,Petrol,HR,"5,351",Zero Down Payment,"2,73,699"
2021,Hyundai GRAND I10 NIOS,SPORTZ CNG MT,Manual,"33,134",1st ,Petrol + CNG,HR,"14,753",Zero Down Payment,"7,54,599"
2013,Maruti Swift Dzire,VXI,Manual,"99,364",1st ,Petrol,DL,"7,302",Zero Down Payment,"3,73,499"
2020,Maruti XL6,ALPHA SHVS  MT,Manual,"70,925",1st ,Petrol,DL,"17,196",Zero Down Payment,"9,15,699"
2013,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"61,300",2nd ,Petrol,DL,"6,870",Zero Down Payment,"3,51,399"
2015,Mahindra Scorpio,S10,Manual,"44,092",1st ,Diesel,DL,"17,286",Zero Down Payment,"9,20,499"
2018,Maruti Ciaz,ALPHA 1.3 DDIS SHVS,Manual,"82,015",2nd ,Diesel,HR,"13,904",Zero Down Payment,"7,11,199"
